transaction_id,product_name,product_category,quantity,unit_price,total_price,customer_name,customer_email,purchase_date,payment_method,City,Order_status
1,Garlic Naan Bread,Food - Bakery,61,85.1,747.89,Kirk Kenshole,kkenshole0@ehow.com,7/21/2023,credit card,Hyderabad,refunded
2,Sweet Potato Mash,Food - Frozen Foods,94,89.64,941.17,Al Clail,aclail1@vk.com,2/13/2026,Apple Pay,Bangalore,delivered
3,Honey Graham Crackers,Food - Snacks,90,42.69,259.84,Karita Boskell,kboskell2@bizjournals.com,8/2/2021,Apple Pay,Lucknow,returned
4,Car Windshield Sun Shade,Automotive,66,58.33,407.51,Dacie O'Kennavain,dokennavain3@deviantart.com,7/10/2022,Apple Pay,Bangalore,shipped
5,Kitchen Knife Sharpening System,Kitchen,17,51.57,270.23,Von Aicheson,vaicheson4@comcast.net,9/15/2024,credit card,Lucknow,returned
6,Outdoor Adventure Backpack,Outdoor,29,9.55,594.94,Courtney Armsden,carmsden5@about.me,1/8/2024,Google Pay,Lucknow,delivered
7,Multi-Function Smartphone Holder,Electronics,5,28.92,192.87,Feliks Fischer,ffischer6@java.com,1/14/2025,credit card,Kolkata,cancelled
8,Streaming Device,Electronics,26,92.76,519.76,Haven Garrod,hgarrod7@latimes.com,11/26/2022,Apple Pay,Ahmedabad,completed
9,Electric Bike,Bicycles,13,42.29,91.14,Taddeusz Bener,tbener8@blog.com,8/14/2020,Cash,Mumbai,cancelled
10,Maple Bacon Potato Chips,Food - Snacks,33,88.37,931.05,Ali Skates,askates9@de.vu,10/12/2025,Cash,Jaipur,pending
11,Maple Almond Granola,Food - Breakfast,94,86.01,947.24,Paulo Ventris,pventrisa@freewebs.com,10/14/2025,PayPal,Jaipur,delivered
12,Crispy Rice Treats,Food - Snacks,33,68.78,263.93,Ellwood Tunkin,etunkinb@godaddy.com,12/25/2026,Cash,Delhi,backordered
13,Smartphone Holder for Car,Automotive,68,33.49,301.1,Worthy Tournay,wtournayc@state.tx.us,4/4/2020,Gift card,Hyderabad,returned
14,Pineapple Coconut Yogurt,Food - Dairy,68,40.41,77.7,Emlynne Davidov,edavidovd@youku.com,8/25/2023,PayPal,Hyderabad,completed
15,Kale and Quinoa Salad,Food - Salads,22,58.67,247.19,Moira Slane,mslanee@jalbum.net,5/18/2024,Gift card,Lucknow,returned
16,Honey mustard chicken tenders,Food - Meat,32,33.91,309.94,Annabela Drewet,adrewetf@ox.ac.uk,5/31/2021,PayPal,Lucknow,cancelled
17,Harvest Grain Salad,Food - Salads,81,18.57,757.5,Catherina Lambol,clambolg@utexas.edu,9/4/2025,Apple Pay,Delhi,refunded
18,Pumpkin Spice Granola,Food - Breakfast,71,22.14,445.35,Bobbye Park,bparkh@purevolume.com,1/9/2021,Cash,Ahmedabad,pending
19,Vegan Mac & Cheese,Food - Frozen,4,41.42,290.96,Marcia Laffin,mlaffini@xing.com,3/20/2020,credit card,Kolkata,cancelled
20,Teriyaki Sauce,Food - Condiments,8,1.74,415.56,Rollins Magnus,rmagnusj@princeton.edu,9/24/2026,Google Pay,Lucknow,processing
21,Animal Paw Print Soap Dispenser,Home,90,56.81,845.0,Valentin Huckfield,vhuckfieldk@blogger.com,3/28/2023,Apple Pay,Bangalore,cancelled
22,Fruit Infuser Water Bottle,Fitness,72,14.12,402.51,Maritsa Arniz,marnizl@i2i.jp,9/16/2023,PayPal,Hyderabad,backordered
23,Peanut Butter Granola,Food - Breakfast,55,76.56,334.5,Tallou Sanford,tsanfordm@reddit.com,10/12/2026,Gift card,Kolkata,returned
24,Chipotle Sauce,Food - Condiments,51,52.18,59.74,Cherise MacChaell,cmacchaelln@chron.com,5/25/2025,PayPal,Ahmedabad,processing
25,High-Speed Hand Blender,Kitchen,8,75.36,805.01,Tonnie Cater,tcatero@un.org,6/13/2021,Apple Pay,Bangalore,refunded
26,Canned Sardines,Food - Seafood,69,73.0,623.32,Obadias Curteis,ocurteisp@google.fr,3/19/2020,credit card,Pune,processing
27,Garden Vegetable Chips,Food - Snacks,68,56.45,181.19,Joleen Splevin,jsplevinq@wikimedia.org,1/20/2020,Cash,Delhi,cancelled
28,Fall-Themed Table Runner,Home,81,5.74,953.51,Camille Harcombe,charcomber@nhs.uk,6/9/2023,Gift card,Kolkata,backordered
